time,day_of_week,city,country,channel,status,game,avg_ccu,preliminary_tag
6/9/2016 3:48,4,Boardman,US,dotamajor,Fnatic vs Newbee  - The Manila Major - Main Event,Dota 2,121426,non_community
8/20/2016 8:17,6,Boardman,US,esl_overwatch,REUNITED vs. Rogue - Overwatch Atlantic Showdown - Live from ESL Arena @ GamesCom 2016,Overwatch,51202,non_community
6/10/2016 18:11,5,Boardman,US,dotamajor,MVP vs LGD Gaming - The Manila Major - Main Event,Dota 2,39902,non_community
8/15/2016 1:05,1,Boardman,US,nl_kripp,Back@9pm EDT / 3am CEST! (✿☯‿☯✿)(✿☯‿☯✿),Hearthstone: Heroes of Warcraft,28930,community
6/16/2016 14:08,4,Boardman,US,starladder_hs_en,Surrender vs Lifecoach | SL i-League StarSeries S2 Last Chance by @CoL_Noxious & @HSPurple,Hearthstone: Heroes of Warcraft,21960,non_community
7/30/2016 4:16,6,Boardman,US,eulcs1,EU LCS Summer: G2 vs Vitality,League of Legends,21181,non_community
9/18/2016 5:43,0,Boardman,US,pgl_hs,Superjj vs stancifka - PGL Bucharest Tavern Tales 2016,Hearthstone: Heroes of Warcraft,16597,non_community
9/18/2016 6:32,0,Boardman,US,pgl_hs,OMEN by HP - Virtual Reality Experience - PGL Bucharest Tavern Tales 2016,Hearthstone: Heroes of Warcraft,15970,non_community
7/1/2016 15:38,5,Boardman,US,summit1g,-=]- Golf With Friends then GTA Races w/ @summit1g -[=-,Golf With Friends,13027,community
7/15/2016 13:54,5,San Francisco,US,dreamhackheroes,DreamHack Allstars - Heroes of the Storm EU Fall Regional [Re Broadcast],Heroes of the Storm,12965,non_community
8/27/2016 18:26,6,Boardman,US,cyberpowergaming,"Immortals vs Selfless - CyberPowerPC CS:GO $15,000 Main Event",Counter-Strike: Global Offensive,12184,non_community
6/13/2016 9:43,1,Boardman,US,kindafunnygames,Kinda Funny E3 Extravaganza: Microsoft Press Conference Show,E3 2016,10663,non_community
6/24/2016 8:30,5,Boardman,US,eulcs1,EU LCS: Giants vs. FC Schalke 04,League of Legends,10512,non_community
6/24/2016 8:56,5,San Francisco,US,eulcs1,EU LCS: FC Schalke 04 vs. Giants,League of Legends,10512,non_community
6/20/2016 15:04,1,Boardman,US,anniebot,Annie Bot | Hextech Annie on Main,League of Legends,10047,community
7/11/2016 17:38,1,Boardman,US,bmkibler,Kibler - RenoYoggMonkeyMage,Hearthstone: Heroes of Warcraft,9647,community
6/17/2016 16:24,5,Boardman,US,reckful,Reckful - shieet,Overwatch,8873,community
8/9/2016 12:16,2,Boardman,US,reckful,Reckful - yeah,World of Warcraft,8604,community
7/16/2016 1:03,6,Boardman,US,goldglove,Friday Night Games & Drinks w/ Goldy - New Gold Foil T-Shirt! http://bit.ly/29t66Ts,DayZ,7994,community
7/16/2016 1:13,6,Boardman,US,goldglove,Friday Night Games & Drinks w/ Goldy - New Gold Foil T-Shirt! http://bit.ly/29t66Ts,Rocket League,7994,community
6/8/2016 15:24,3,Boardman,US,flosd,boxbox - WE ARE 120 LP AWAY FROM CHALLENGER CAN WE DO IT,League of Legends,7912,community
9/4/2016 14:18,0,Boardman,US,jcarverpoker,the World Championship of Online Poker day 1! @JasonSomerville,Poker,6764,non_community
9/6/2016 23:29,2,Boardman,US,goldglove,Father & Son Gaming,Duck Game,6102,community
8/23/2016 18:02,2,Boardman,US,goldglove,Tuesday Night Games w/ Goldy!,Rocket League,5819,community
7/15/2016 19:55,5,San Francisco,US,seriousgaming,LIVE FROM THE BEACH! 125/150 Pokemon down LVL 23 NEW SHIRT! teespring.com/twitch/seriouspokemongo #TeamInstinct @seriousgaming,Pokémon Go,5813,community
6/10/2016 19:57,5,Boardman,US,wingsofdeath,Write me a story twitch chat...say something funny. | Commentary? Teaching? Come find out,Path of Exile,5013,community
7/9/2016 6:41,6,Boardman,US,pokelawls,Rank 74 - @pokelawls - [GOLDEN SHURIKENS 163/250]  genji player that likes tracer,Overwatch,4759,community
6/27/2016 20:25,1,Boardman,US,goldglove,CHEER CHEER CHEER! Bits & Pieces w/ Goldy,Gaming Talk Shows,4745,community
8/1/2016 17:42,1,Boardman,US,tarik,toxic chat @noshirt_tv,Counter-Strike: Global Offensive,4653,community
7/22/2016 22:16,5,San Francisco,US,goldglove,FRIDAY NIGHT DRINKS & GAMING w/ Goldy - New Gold Foil T-Shirt! http://bit.ly/29t66Ts,Gaming Talk Shows,4329,community
7/14/2016 20:52,4,Boardman,US,goldglove,Thursday Night Games w/ Goldy - New Gold Foil T-Shirt! http://bit.ly/29t66Ts,Golf With Friends,4020,community
8/26/2016 16:02,5,Boardman,US,bmkibler,Kibler - Mobius Final Fantasy,Mobius Final Fantasy,3974,community
8/10/2016 13:32,3,Boardman,US,reckful,Reckful - 123,World of Warcraft,3895,community
6/12/2016 21:02,0,Boardman,US,vinesauce,Vinny || GTA: Online (New Update),Grand Theft Auto V,3828,community
9/14/2016 6:24,3,Boardman,US,amazhs,"★AMAZ★ 12 wins or open 20 packs per win I didn't get, Amaz vs World later today @ 10AM PDT!",Hearthstone: Heroes of Warcraft,3802,community
6/30/2016 19:47,4,Boardman,US,goldglove,Thursday Games & Schtuff w/ Goldy,Rocket League,3724,community
9/19/2016 19:18,1,Boardman,US,goldglove,Monday Night Buckets w/ Goldy - Quest for 10 Million Followers,Gaming Talk Shows,3578,community
8/8/2016 23:29,1,Boardman,US,vinesauce,Vinny || Metroid 2 Remake,Metroid II: Return of Samus,3510,community
9/7/2016 13:03,3,Boardman,US,flosd,boxbox - MASTER PROMO TIME (on smurf),League of Legends,3509,community
8/15/2016 7:23,1,Boardman,US,attackerdota,road to 9k,Dota 2,3504,community
8/20/2016 7:36,6,Boardman,US,quin69,LIVE FROM @Gamescom GERMANY | Gamescom !rip | !helltooth !starter !ltk !jade,Diablo III: Reaper of Souls,3151,non_community
8/1/2016 22:56,1,Boardman,US,vinesauce,Vinny || Metal Gear Solid 4,Metal Gear Solid 4: Guns of the Patriots,3081,community
9/17/2016 1:04,6,Boardman,US,pgl_hs,Crane vs SuperJJ - LIVE - PGL Bucharest Tavern Tales 2016,Hearthstone: Heroes of Warcraft,2976,non_community
7/28/2016 11:00,4,Boardman,US,angrypug_,Survivor ONLY - Rank 1 - Hero Mode Engaged - SUBTRAIN HYPE #100,Dead by Daylight,2951,community
6/26/2016 20:59,0,Boardman,US,dramaticdegen,DEEEEEP In The Milli - FINAL 20,Poker,2835,community
6/28/2016 10:16,2,Boardman,US,formal,OpTic Gaming's FORMAL! #T2P,Call of Duty: Black Ops III,2798,community
7/13/2016 17:25,3,San Francisco,US,goldglove,THE RETURN! w/ Goldy - I Missed You,Gaming Talk Shows,2760,community
8/27/2016 4:56,6,Boardman,US,massansc,23-4 Is Beast druid best deck ATM?,Hearthstone: Heroes of Warcraft,2713,community
6/3/2016 17:17,5,Boardman,US,cashnastygaming,2k THEN OVERWATCH,NBA 2K16,2687,community
7/13/2016 15:54,3,Boardman,US,seriousgaming,SAN DIEGO ZOO LIVE! 98/150 Pokemon down LVL 21 #TeamInstinct @seriousgaming,Pokémon Go,2588,community
8/29/2016 8:34,1,Boardman,US,savjz,Might of Dalaran,Hearthstone: Heroes of Warcraft,2435,community
8/3/2016 10:30,3,Boardman,US,deadpoolyplays,Real Gameplay in Downtown Tulsa| Sub Goal! : 445/500,Pokémon Go,2331,community
6/24/2016 12:26,5,Boardman,US,esl_overwatch,ESL Showmatch - Team Solid vs Ninjas in Bananas,Overwatch,2309,non_community
8/27/2016 20:13,6,Boardman,US,pandaxgaming,Ultra Fight Night -  #ABSEVEN,Street Fighter V,2275,non_community
6/7/2016 15:52,2,Boardman,US,lobosjr,Sniper Hour w/ Lobos (btag: Lobosjr#1888),Overwatch,2212,community
9/9/2016 11:57,5,Boardman,US,sacriel, TOP5 so far - BR  Hypu!! | !cheersboard !discord #The42nd,PLAYERUNKNOWN'S BATTLEGROUNDS,2179,community
9/6/2016 19:20,2,Boardman,US,wingsofdeath,"HC Essence League (▀̿Ĺ̯▀̿ ̿) Hello Wings, this is the Standard League Police, You're coming with us. (▀̿Ĺ̯▀̿ ̿)",Path of Exile,2131,community
6/29/2016 8:21,3,San Francisco,US,bigfoltz,1000 NUCLEARS IN ONE STREAM [239/1000] w/ @iGhostNinja,Call of Duty: Black Ops III,2111,community
6/11/2016 9:09,6,Boardman,US,runescape_jsd,[OSRS]  Double XP is finally out! 5x for DeadMan Mode!,RuneScape,2088,community
6/28/2016 7:21,2,Boardman,US,bigfoltz,1000 NUCLEARS IN ONE STREAM [198/1000] w/@iGhostNinja,Call of Duty: Black Ops III,2004,community
8/14/2016 19:01,0,Boardman,US,cirno_tv,Danganronpa baby! @CirnoTV,Danganronpa: Trigger Happy Havoc,1981,community
6/3/2016 18:01,5,Boardman,US,onenationofgamers,"Group A Deciding Match ONOG Feature #3 cast by ThatsAdmirable and TJ""Azumoqt"" Sanders",Hearthstone: Heroes of Warcraft,1968,non_community
7/19/2016 9:05,2,San Francisco,US,entranayt,$200 IRL giveaway Skywars with viewers soon,Minecraft,1964,community
7/1/2016 19:40,5,San Francisco,US,goldglove,Friday Night Drinks & Games w/ Goldy & Friends,Gaming Talk Shows,1952,community
7/24/2016 9:42,0,Boardman,US,entranayt,$200 IRL Giveaway | MEGA skywars with viewers and chill? Frostysb.com,Minecraft,1946,community
7/21/2016 7:43,4,Boardman,US,deadpoolyplays,On the Go Mall edition Sub Goal! : 297/500,Pokémon Go,1903,community
7/20/2016 14:01,3,San Francisco,US,vainglory,Summer Party SAW Reveal Dev Stream!,Vainglory,1899,non_community
7/3/2016 19:05,0,San Francisco,US,lsparcmacl,Banned - I Need Your Help!,RuneScape,1894,community
6/8/2016 16:50,3,Boardman,US,cirno_tv,IDOLS IDOLS IDOLS [nosrl],The iDOLM@STER Cinderella Girls: Starlight Stage,1889,community
7/29/2016 13:57,5,San Francisco,US,sacriel,!shirt - EMET Sub sound! w/ @Sacriel42 !cheer !discord #The42nd,Evolve,1888,community
8/1/2016 22:00,1,Boardman,US,koopatroopa787,Next Stream around 130 AM CST - Lvl 32 Mass Evo with Pokecoins Giveaway with Albion Online after!,Pokémon Go,1841,community
7/22/2016 21:06,5,Boardman,US,hsdogdog,Dogstone - hellow,Hearthstone: Heroes of Warcraft,1808,community
7/7/2016 14:34,4,Boardman,US,nick_28t,PACKS ON SHOTS ON PACKS ON SHOTS!!!! #FkedUpFriday,FIFA 16,1792,community
8/3/2016 17:59,3,Boardman,US,anniebot,Annie Bot | Masters 0 lp ... help,League of Legends,1788,community
8/19/2016 17:18,5,Boardman,US,nick_28t,HUNGOVER CAREER MODE TING,FIFA 16,1781,community
8/31/2016 23:45,3,Boardman,US,p4wnyhof,LADDER SPIDERMAN Faster than Lifecoach? - Salt Free Experience - Twitter @P4wnyhof,Hearthstone: Heroes of Warcraft,1770,community
6/23/2016 22:05,4,San Francisco,US,justdimps,NEW!! OUTRAGEOUS BATTLEMODE,Minecraft,1765,community
6/30/2016 20:09,4,Boardman,US,protonjon,Fortune Cookie: Countdown to Breaking New Desk Edition,Superman,1759,community
